commit	model	params_B	active_B	tok_sec	ttft_ms	mem_gb	status	description
53881f9	Qwen3.5-122B-A10B-4bit	122.0	10.0	0.93	6236	3.7	keep	selective expert direct I/O - 10.3x over naive offload
198f9f7	Qwen3.5-122B-A10B-4bit	122.0	10.0	1.13	5338	3.8	discard	LRU cache 768 entries - BROKEN OUTPUT (cache eviction race)
757b156	Qwen3.5-122B-A10B-4bit	122.0	10.0	1.21	6682	3.9	discard	file handle cache + 1536 LRU - BROKEN OUTPUT (cache eviction race)
0a9ef8c	Qwen3.5-122B-A10B-4bit	122.0	10.0	3.43	2970	10.0	discard	threaded I/O - BROKEN OUTPUT (cache eviction race, garbage text)
2b54439	Qwen3.5-122B-A10B-4bit	122.0	10.0	3.88	2981	10.5	discard	batched clear - BROKEN OUTPUT (cache eviction race)
9ac9aa8	Qwen3.5-122B-A10B-4bit	122.0	10.0	2.45	1953	10.5	keep	direct MoE + LRU fix - first correct output, 49% cache hit
a0063cc	Qwen3.5-122B-A10B-4bit	122.0	10.0	2.54	2157	10.2	keep	coalesced expert reads - 3.7% speedup
bb0286e	Qwen3.5-122B-A10B-4bit	122.0	10.0	2.67	2100	17.0	keep	3072 LRU entries - 70% hit rate, 5% speedup
HEAD	Qwen3.5-35B-A3B-4bit	5.4	3.0	36.95	841	14.5	keep	35B baseline (fits DRAM) - reference for speculative decoding
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.47	6305	20.6	keep	397B MOONSHOT - 209GB model on 48GB laptop, 23% cache hit at 5 tokens
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.96	6008	21.4	keep	397B 20-token run - 0.96 tok/s, 44% cache hit, still climbing
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.03	11341	21.4	keep	397B 50-token steady state - 1.03 tok/s, 50% cache hit, plateau reached
HEAD	Qwen3.5-122B-A10B-4bit	122.0	10.0	0.23	6114	10.8	discard	speculative decode (35B draft K=4) - 33% accept rate, 4.5x SLOWER than baseline
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.65	9611	20.8	discard	preloaded hot experts (profiled) - wrong routing, wasted cache space
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.18	4367	28.1	discard	LFU cache - same hit rate as LRU, scan overhead made it slower
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.32	4335	28.2	keep	28GB LRU cache - 61% hit rate, 28% speedup over 20GB baseline
HEAD	Qwen3.5-122B-A10B-4bit	122.0	10.0	3.53	6318	25.8	keep	expanded 28GB cache (5274 entries) - 82% hit rate at 200tok, still climbing
HEAD	Qwen3.5-122B-A10B-4bit	122.0	10.0	3.99	11308	25.8	keep	500tok steady state - 86% hit rate plateau, ~4.7 tok/s instantaneous
573e190	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.47	12129	25.3	keep	PROFILING: I/O=434ms(64%), mx.eval=224ms(33%), SSD=3.5GB/s, GPU=3.7ms actual
ee5858b	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.91	19688	25.3	discard	pread+F_NOCACHE - 1.8GB/s, SLOWER than mmap (bypassed page cache)
ee5858b	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.45	11724	25.5	discard	pread+pagecache+8threads - ~4.1GB/s, GIL limits parallelism, matches mmap
ee5858b	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.30	12429	28.2	discard	33GB cache - memory pressure abort at 9% free, can't fit working set
HEAD	fast_expert_io.c	397.0	17.0	0.00	0	0	keep	C extension benchmark: 18.8 GB/s cold (8 pthreads, preadv, sorted reads)
575e370	Qwen3.5-397B-A17B-4bit	397.0	17.0	0.35	19007	26.2	discard	C extension integrated - memory contention with MLX, 2.6GB/s (worse than mmap)
c4b2795	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.16	9008	26.0	keep	batch-experts 50tok - mx.eval 224→183ms (18% faster), 2 syncs/layer
c4b2795	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.28	9184	26.9	keep	batch-experts 200tok - 58% cache hit plateau, 1.28 tok/s steady state
13e265c	Qwen3.5-397B-A17B-4bit	397.0	17.0	1.67	5325	28.1	keep	K=6 expert pruning 50tok - 40% less I/O, coherent output
13e265c	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.37	3661	28.2	keep	K=4 expert pruning 100tok - 60% hit, best cached config
13e265c	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.72	2882	28.1	discard	K=3 expert pruning - quality collapse (model outputs end token only)
5619b18	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.21	3364	5.4	keep	no-cache mode 100tok - 81% less RAM, mx.eval 183→124ms (32% compute win)
5619b18	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.23	3263	5.7	discard	no-cache+C-ext - same as mmap (9 scattered reads = structural bottleneck)
5619b18	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.20	3591	13.2	keep	10GB cache sweep - 43% hit, 13.2GB RAM
5619b18	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.33	3633	21.5	keep	20GB cache sweep - 54% hit, 21.5GB RAM
b52d187	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.05	3068	5.9	keep	packed layers 0-8 + no-cache - 6.6-7.5 GB/s packed vs 5.3 scattered (25% faster)
a5a969f	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.49	2712	5.5	keep	ALL 60 layers packed + no-cache + K=4 - I/O 205ms, 240 seeks, 3.5GB/s, BEST
9a261c3	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.49	3313	2.1	keep	C ext packed + no-cache K=4 - same speed as mmap packed, only 2.1GB RAM
9a261c3	Qwen3.5-397B-A17B-4bit	397.0	17.0	2.27	3961	28.5	discard	pin-experts(20warm,top20) - 31% pin hit (routing diverged), 28.5GB Metal overhead
84dbb24	Qwen3.5-397B-A17B-4bit	397.0	17.0	3.10	2614	5.3	keep	FULL STACK: packed+no-cache+K=4+batch+lazy-eval+pipeline — 280ms/tok, 3.10 tok/s
002128a	Qwen3.5-397B-A17B-4bit	397.0	17.0	3.14	2518	5.4	keep	eval(inds) only + all prior opts — 278ms/tok, I/O 171ms, compute 97ms
c8e30e4	Qwen3.5-397B-A17B-4bit	397.0	17.0	3.04	2851	5.8	discard	async-pipeline - I/O overlapped (2.65ms!) but graph explosion: mx.eval 97→279ms
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	10.10	804	5.8	discard	variable K=0 middle 40 layers - 10 TOK/S but blank output (quality collapse)
HEAD	Qwen3.5-397B-A17B-4bit	397.0	17.0	3.75	1967	5.4	discard	variable K=2 middle 40 - EOS, quality collapse
